name,birthdate,birth_name,birth_place,birth_region,birth_country,height_meters,nickname
Fyvush Finkel,1922-10-09,Philip Finkel,New York City,New York,USA,1.85,
Neil Gaiman,1960-11-10,Neil R. Gaiman,Portchester,England,UK,1.78,
Jeff Bezos,1964-01-12,Jeffrey Preston Jorgensen,Albuquerque,New Mexico,USA,1.71,
Isabel Sanford,1917-08-29,Eloise Gwendolyn Sanford,New York City,New York,USA,1.6,
Burt Ward,1945-07-06,Bert John Gervis Jr.,Los Angeles,California,USA,1.71,
Richard Dean Anderson,1950-01-23,,Minneapolis,Minnesota,USA,1.88,Our Last Hope
Matthew Senreich,1974-06-17,Matthew Ian Senreich,Long Island,New York,USA,1.85,
Natalie Maines,1974-10-14,Natalie Louise Maines,Lubbock,Texas,USA,1.6,
Marcia Wallace,1942-11-01,Marcia Karen Wallace,Creston,Iowa,USA,1.74,
Adam Savage,1967-07-15,Adam Whitney Savage,New York City,New York,USA,1.8,
Shawn Colvin,1956-01-10,Shawna Lee Colvin,Vermillion,South Dakota,USA,1.66,
Ben Stiller,1965-11-30,Benjamin Edward Meara Stiller,New York City,New York,USA,1.7,
Reese Witherspoon,1976-03-22,Laura Jeanne Reese Witherspoon,New Orleans,Louisiana,USA,1.57,
Dan Povenmire,1963-09-18,Daniel Kingsley Povenmire,San Diego,California,USA,1.85,
Kathie Lee Gifford,1953-08-16,Kathryn Lee Epstein,Paris,,France,1.65,KLG
Katy Perry,1984-10-25,Katheryn Elizabeth Hudson,Santa Barbara,California,USA,1.73,
Jason Momoa,1979-08-01,Joseph Jason Namakaeha Momoa,Honolulu,Hawaii,USA,1.93,
Robert Englund,1947-06-06,Robert Barton Englund,Glendale,California,USA,1.79,
Amy Schumer,1981-06-01,Amy Beth Schumer,New York City,New York,USA,1.7,
Steve Martin,1945-08-14,Stephen Glenn Martin,Waco,Texas,USA,1.82,
Huell Howser,1945-10-18,Huell Burnley Howser,Gallatin,Tennessee,USA,1.93,
Jane Kaczmarek,1955-12-21,Jane Frances Kaczmarek,Milwaukee,Wisconsin,USA,1.69,
Chris Wedge,1957-03-20,Christian Wedge,Binghamton,New York,USA,1.83,
Tom Kite,1949-12-09,Thomas Oliver Kite Jr.,Austin,Texas,USA,1.75,
Glenn Close,1947-03-19,,Greenwich,Connecticut,USA,1.65,Glennie
Edward James Olmos,1947-02-24,,Los Angeles,California,USA,1.75,Eddie
Debi Mazar,1964-08-13,Deborah Mazar,New York City,New York,USA,1.65,
Mario Batali,1960-09-19,Mario Francis Batali,Seattle,Washington,USA,1.8,
Nichelle Nichols,1932-12-28,Grace Nichols,Robbins,Illinois,USA,1.65,
Tom Savini,1946-11-03,,Pittsburgh,Pennsylvania,USA,1.69,The Godfather of Gore
Nick Park,1958-12-06,Nicholas Wulstan Park,Lancashire,England,UK,1.68,
Will Forte,1970-06-17,Orville Willis Forte IV,Alameda County,California,USA,1.75,
Jim Parsons,1973-03-24,James Joseph Parsons,Houston,Texas,USA,1.86,
Edward Asner,1929-11-15,Yitzhak Edward Asner,Kansas City,Missouri,USA,1.7,
Joey Kramer,1950-06-21,Joseph Michael Kramer,New York City,New York,USA,1.68,
Dennis Weaver,1924-06-04,William Dennis Weaver,Joplin,Missouri,USA,1.88,
J.K. Simmons,1955-01-09,Jonathan Kimble Simmons,Grosse Pointe,Michigan,USA,1.8,
Michael Price,1958-10-22,Michael William Price,South Plainfield,New Jersey,USA,1.93,
Josh Weinstein,1966-05-05,Joshua Moses Weinstein,Alexandria,Virginia,USA,1.63,
Christina Ricci,1980-02-12,,Santa Monica,California,USA,1.55,Squant
Rachel Maddow,1973-04-01,Rachel Anne Maddow,Castro Valley,California,USA,1.8,
Pat Summerall,1930-05-10,George Allen Summerall,Lake City,Florida,USA,1.93,
Topher Grace,1978-07-12,Christopher John Grace,New York City,New York,USA,1.8,
Roger Daltrey,1944-03-01,Roger Harry Daltrey,London,England,UK,1.7,
Harry Shearer,1943-12-23,Harry Julius Shearer,Los Angeles,California,USA,1.69,
Justin Hayward,1946-10-14,David Justin Hayward,Wiltshire,England,UK,1.87,
Adam West,1928-09-19,William West Anderson,Walla Walla,Washington,USA,1.88,
Henry Corden,1920-01-06,Henry Cohen,Montreal,Quebec,Canada,1.85,
Lizzy Caplan,1982-06-30,Elizabeth Anne Caplan,Los Angeles,California,USA,1.63,
John Slattery,1962-08-13,John M. Slattery Jr.,Boston,Massachusetts,USA,1.78,
Edgar Allan Poe,,Edgar Poe,Boston,Massachusetts,USA,1.75,Mr. Poe
Lionel Richie,1949-06-20,Lionel Brockman Richie Jr.,Tuskegee,Alabama,USA,1.8,
Don Cheadle,1964-11-29,Donald Frank Cheadle,Kansas City,Missouri,USA,1.72,
Danny DeVito,1944-11-17,Daniel Michael DeVito Jr.,Asbury Park,New Jersey,USA,1.47,
Martha Stewart,1941-08-03,Martha Helen Kostyra,Nutley,New Jersey,USA,1.77,
William Friedkin,1935-08-29,,Chicago,Illinois,USA,1.83,Hurricane Billy
Katey Sagal,1954-01-19,Catherine Louise Sagal,Los Angeles,California,USA,1.75,
John Kassir,1957-10-24,John Edward Kassir,Baltimore,Maryland,USA,1.74,
Gore Vidal,1925-10-03,Eugene Luther Gore Vidal,West Point,New York,USA,1.82,
Denis Leary,1957-08-18,Denis Colin Leary,Worcester,Massachusetts,USA,1.88,
Allison Williams,1988-11-30,Allison Howell Williams,New Canaan,Connecticut,USA,1.67,
Ben Bledsoe,1982-05-11,Benjamin Frederick Bledsoe,Snellville,Georgia,USA,1.83,
Charles Napier,1936-04-12,Sr. Charles Whitnel Napier,Mt. Union,Kentucky,USA,1.8,
Richard Gere,1949-08-31,Richard Tiffany Gere,Philadelphia,Pennsylvania,USA,1.76,
Evan Marriott,1974-07-15,Evan Wallace Marriott,Virginia Beach,Virginia,USA,1.96,
Mick Jagger,1943-07-26,Michael Phillip Jagger,Kent,England,UK,1.78,
Stephen Sondheim,1930-03-22,Stephen Joshua Sondheim,New York City,New York,USA,1.73,
Sonny Rollins,1930-09-07,Theodore Walter Rollins,New York City,New York,USA,,Colossus
Angela Bassett,1958-08-16,Angela Evelyn Bassett,New York City,New York,USA,1.63,
Franklin D. Roosevelt,,Franklin Delano Roosevelt,Hyde Park,New York,USA,1.88,The Squire of Hyde Park
Will Arnett,1970-05-04,William Emerson Arnett,Toronto,Ontario,Canada,1.89,
Cate Blanchett,1969-05-14,Catherine Elise Blanchett,Melbourne,Victoria,Australia,1.74,
Michael York,1942-03-27,Michael York-Johnson,Buckinghamshire,England,UK,1.79,
John Frink,1959-05-05,John Eric Frink,Whitesboro,New York,USA,,
Veronica Powers,2001-01-03,,Los Angeles,California,USA,1.61,
John Baldessari,1931-06-17,John Anthony Baldessari,National City,California,USA,,
James Purdum,1971-04-16,James Edward Purdum,Burbank,California,USA,,
Laura Ingraham,1963-06-19,Laura Anne Ingraham,Glastonbury,Connecticut,USA,,
Brian Bell,1968-12-09,,Knoxville,Tennessee,USA,1.73,
Dan Vebber,1970-08-07,Daniel Peter Vebber,Whitefish Bay,Wisconsin,USA,,
Matt Warburton,1978-02-07,Matthew C Warburton,Strongsville,Ohio,USA,,
Michael Marcantel,1958-04-12,Michael Webster Marcantel,Valencia,California,USA,,
Artie Esposito,1975-10-09,Arthur John Esposito Jr.,New York City,New York,USA,,
Courtney Platt,1988-06-12,Courtney Ann Galiano,Long Island,New York,USA,,
Frank Gehry,1929-02-28,Ephraim Goldberg,Toronto,Ontario,Canada,,
Mark McJimsey,1962-10-20,Mark Alan McJimsey,Los Angeles,California,USA,,
Eric Idle,1943-03-29,,Tyne and Wear,England,UK,1.86,
Mark Cuban,1958-07-31,,Pittsburgh,Pennsylvania,USA,1.89,
Kathy Zielinski,1961-03-21,Katharine May Zielinski,Torrance,California,USA,,
Jennie Hoffer,1979-02-06,Jennifer Anne Hoffer,Los Angeles,California,USA,,
Dell Hake,1943-08-13,Ardell Bradley Hake,Radcliffe,Iowa,USA,,
Jonathan Schmock,1956-02-26,Jonathan Carl Schmock,San Diego,California,USA,,
Peter Gave,1979-10-05,Peter A Gave,Massapequa,New York,USA,,
Janet Reno,1938-07-21,,Miami,Florida,USA,1.87,
Kyle Stegina,1987-02-12,Kyle Andrew Stegina,Cheshire,Connecticut,USA,,
Ken Keeler,1961-12-02,Kenneth Charles Keeler,Cambridge,Massachusetts,USA,,
Billy Eichner,1978-09-18,,New York City,New York,USA,1.91,
Judd Apatow,1967-12-06,,Syosset,New York,USA,1.78,
Diane H. Newman,1964-03-10,Diane Hassinger Newman,New Orleans,Louisiana,USA,,
Dan V. Weiss,1979-01-27,,Santa Barbara,California,USA,1.78,
Mark Kirkland,1956-11-05,Mark Douglas Kirkland,Altadena,California,USA,,
Clint Bond Jr.,1971-01-02,Clinton Jay Bond Jr.,Mission Viejo,California,USA,,
Marisa Tomei,1964-12-04,,New York City,New York,USA,1.64,
Felicia Nalivansky-Caplan,1970-11-08,Felicia Mari Nalivansky,Los Angeles,California,USA,,
Andrew Daly,1971-04-15,,Westchester County,New York,USA,1.8,
David Silverman,1957-03-15,,New York City,New York,USA,1.78,
Brian Iles,1975-10-20,Brian Charles Iles,Sterling,Virginia,USA,,
Sab Shimono,1937-07-31,Saburo Shimono,Sacramento,California,USA,,
Asia Kate Dillon,1984-11-15,,Ithaca,New York,USA,1.73,
Donald Fagen,1948-01-10,,Passaic,New Jersey,USA,1.79,
Pamela Reed,1949-04-02,,Tacoma,Washington,USA,1.65,
John Harvatine IV,1977-08-17,John Lawrence Harvatine IV,Hennepin County,Minnesota,USA,,
Derek Higgs,1971-07-23,Derek Kenneth Higgs,Canyon Country,California,USA,,
James Patterson,1947-03-22,,Newburgh,New York,USA,1.85,
Pam Cooke,1950-11-29,Pamela D. Cooke,Denver,Colorado,USA,,
Chris Ledesma,1958-01-28,Chris F. Ledesma,Los Angeles,California,USA,,
Fletcher Sheridan,1980-08-30,Fletcher Timothy Cosmo Sheridan,North Hollywood,California,USA,,
Gregg Berger,1950-12-10,Gregory Alan Berger,Saint Louis,Missouri,USA,,
Nick Offerman,1970-06-26,,Joliet,Illinois,USA,1.8,
Jennifer Crittenden,1969-08-29,Jennifer Pace Crittenden,Laguna Beach,California,USA,,
William Bemiller,1959-06-07,William Albert Bemiller,Los Angeles,California,USA,,
Utkarsh Ambudkar,1983-12-08,,Baltimore,Maryland,USA,1.75,
Tal Fishman,1996-12-27,,Los Angeles,California,USA,,Reaction Time
Pat O'Brien,1948-02-14,Patrick J. O'Brien,Sioux Falls,South Dakota,USA,,
Brian Setzer,1959-04-10,Brian Robert Setzer,New York City,New York,USA,,
Richard Raynis,1956-12-27,Richard Allen Raynis,Northridge,California,USA,,
Colin Heck,1978-12-27,Colin Bradford Heck,Los Angeles,California,USA,,
Kevin Feige,1973-06-02,,Boston,Massachusetts,USA,1.82,
Timothy Nordwind,1976-06-28,,Kalamazoo,Michigan,USA,1.77,
Bryan Smith,1976-06-02,,Los Angeles,California,USA,1.8,
Maria Grazia Cucinotta,1968-07-27,,Messina,Sicily,Italy,1.77,
Patrick Williams,1939-04-23,Patrick Moody Williams,Bonne Terre,Missouri,USA,,
J. Michael Mendel,1964-09-24,Joel Michael Mendel,Radford,Virginia,USA,,
Natasha Lyonne,1979-04-04,,New York City,New York,USA,1.56,
Craig Armstrong,1952-11-09,Craig Arthur Armstrong,Santa Monica,California,USA,,
Eddie Izzard,1962-02-07,Edward John Izzard,Aden,,Yemen,1.7,
Cynnie Troup,1943-07-09,Cynthia Hare Troup,New River,North Carolina,USA,,
Tom Martin,1964-07-29,Thomas Joseph Martin,Chicago,Illinois,USA,,
Daniel Chun,1980-09-04,Daniel O Chun,Los Angeles,California,USA,,
Dean Scammahorn,1956-07-19,Dean Edward Scammahorn,Lakewood,California,USA,,
Sutan Amrull,1974-06-14,,Baldwin Park,California,USA,,Raja
Anthony Russo,1970-02-03,Anthony J. Russo,Cleveland,Ohio,USA,,
Joshua Sternin,1966-12-03,Joshua Leonard Sternin,Bridgewater,New Jersey,USA,,
Thomas Pynchon,1937-05-08,Thomas Ruggles Pynchon Jr.,Long Island,New York,USA,,
Glen Wuthrich,1965-05-08,Glendon T Wuthrich,Manhattan Beach,California,USA,,
Edie Lehmann Boddicker,1957-09-25,Edith M. Lehmann,Buffalo,New York,USA,,
Liz Climo,1981-07-24,Elizabeth Shearon Climo,Los Angeles,California,USA,,
Chris Mitchell,1970-05-10,Christopher Takeshi Mitchell,Cupertino,California,USA,,
Charles Chiodo,1952-05-24,Charles Anthony Chiodo,Bronx,New York,USA,,
Jo Ann Harris,1949-05-27,Jo Ann Marcovitch,Los Angeles,California,USA,,
Neal Boushell,1967-10-24,Neal Joseph Boushell,Medford,Massachusetts,USA,,
Merl Reagle,1950-01-05,Merl Harry Reagle,Audubon,New Jersey,USA,,
Thurston Moore,1958-07-25,,Bethel,Connecticut,USA,1.98,
Kipp Lennon,1960-03-16,Christopher Joel Lennon,Venice,California,USA,,
Rob Oliver,1977-03-25,Robert Douglas Oliver,Owosso,Michigan,USA,,
Judy Blume,1938-02-12,Judith Sussman,Elizabeth,New Jersey,USA,,
Pete Michels,1964-12-15,Peter John Michels,Little Ferry,New Jersey,USA,,
Tommy Morgan,1932-12-04,Thomas Morgan Edwards,Los Angeles,California,USA,,
Lisa Leslie,1972-07-07,,Gardena,California,USA,1.96,
Bill Plympton,1946-04-30,,Portland,Oregon,USA,1.93,
Dana Gould,1964-08-24,,Hopedale,Massachusetts,USA,1.73,
Jarod Daetwiler,1973-01-13,Jarod J. Daetwiler,Los Angeles,California,USA,,
Juan Jose Meza-Leon,1978-05-05,Juan José Meza León,Ensenada,Baja California,Mexico,,
Ray Colcord,1949-12-24,Ray Colcord III,New York City,New York,USA,,
Alison Krauss,1971-07-23,,Decatur,Illinois,USA,1.7,
Joel Kuwahara,1969-03-10,Joel T Kuwahara,Los Angeles,California,USA,,
Olympia Dukakis,1931-06-20,,Lowell,Massachusetts,USA,1.6,
Justin Hurwitz,1985-01-22,Justin Gabriel Hurwitz,Los Angeles,California,USA,,
Ron Diamond,1958-07-30,Ronald Jay Diamond,Los Angeles County,California,USA,,
Richard Appel,1963-05-21,Richard James Appel,,New York,USA,1.73,
Susie Dietter,1965-12-25,Susan Emily Dietter,San Diego,California,USA,,
Randy Bachman,1943-09-27,Randolph Charles Bachman,Winnipeg,Manitoba,Canada,,
Mike Lazzo,1958-04-10,Michael Lazzo,LaGrange,Georgia,USA,,
Matt Selman,1971-09-09,Matthew David Selman,Watertown,Massachusetts,USA,,
Raymie Muzquiz,1960-12-21,Donald Raymond Muzquiz,San Bernardino County,California,USA,,
Fortune Feimster,1980-07-01,Emily Fortune Feimster,Charlotte,North Carolina,USA,,
Don Payne,1964-05-05,William Donald Payne,Wilmington,North Carolina,USA,,
Keegan-Michael Key,1971-03-22,,Southfield,Michigan,USA,1.83,
Jack McBrayer,1973-05-27,,Macon,Georgia,USA,1.79,
Bill Thyen,1970-05-12,William Paclard Thyen,Los Angeles,California,USA,,
Eric Wareheim,1976-04-07,,Audubon,Pennsylvania,USA,1.98,
Paul Willson,1945-12-25,,Fairmont,Minnesota,USA,1.63,
Michael Buffer,1944-11-02,,Philadelphia,Pennsylvania,USA,1.83,
Blake Anderson,1984-03-02,,,California,USA,1.78,Uncle Blazer
Andy Garcia,1956-04-12,Andrés Arturo García Menéndez,Havana,,Cuba,1.75,
Jellybean Benítez,1957-11-07,John A. Benitez,New York City,New York,USA,,
Don Vanderbeek,1949-08-09,,Deerfield,Illinois,USA,,Beek
Teale Wang,1959-04-11,Teale Reon Wang,Los Angeles,California,USA,,
Tim Heidecker,1976-02-03,,Allentown,Pennsylvania,USA,1.83,
Brad Ableson,1975-09-02,Bradley Evan Ableson,Los Angeles County,California,USA,,
Adam Howard,1962-11-17,,Melbourne,Victoria,Australia,1.88,
Dante Fabiero,1983-10-18,Dante Domingo Fabiero,Los Angeles,California,USA,,
John Mathot,1968-10-06,John Robert Mathot,Los Angeles,California,USA,,
Bret Haaland,1964-08-10,Bret John Haaland,Hennepin,Minnesota,USA,,
Zach Woods,1984-09-25,,Trenton,New Jersey,USA,1.93,
Amick Byram,1955-01-24,David Amick Byram,McLennan County,Texas,USA,,
Nick Dahan,1992-03-03,Nicholas Joseph Dahan,Los Angeles,California,USA,,
Phillip Alford,1948-09-11,Phillip Michael Alford,Gadsden,Alabama,USA,,
Joshua David Gorczyca,1982-11-10,,Fort Bragg,North Carolina,USA,1.83,
Roy Firestone,1953-12-08,Roy Alan Firestone,Miami,Florida,USA,,
Cloris Leachman,1926-04-30,,Des Moines,Iowa,USA,1.66,
Pendleton Ward,1982-07-08,,San Antonio,Texas,USA,1.75,
Denise Sirkot,1955-07-10,Denise Marie Sirkot,Lakewood,Ohio,USA,,
Bill Odenkirk,1965-10-13,William Leonard Odenkirk,Naperville,Illinois,USA,,
John Megna,1952-11-09,John Anthony Ingolia,Queens,New York,USA,,
Terry Cashman,1941-07-05,Dennis Michael Minogue,New York City,New York,USA,,
Ben Schwartz,1981-09-15,,Bronx,New York,USA,1.83,
Carrie Brownstein,1974-09-27,,Seattle,Washington,USA,1.65,
Joe Russo,1971-07-08,Joseph Vincent Russo,Cleveland,Ohio,USA,,
Bill Hader,1978-06-07,,Tulsa,Oklahoma,USA,1.85,
Herb Moore,1959-06-26,Herbert Bradley Moore,Cynthiana,Kentucky,USA,,
Dan Greaney,1964-09-28,Daniel John Greaney,Duxbury,Massachusetts,USA,,
Brian Hamilton,1964-07-24,,Suffern,New York,USA,1.93,
Ted Sarandos,1964-07-30,Theodore Anthony Sarandos Jr.,Phoenix,Arizona,USA,,
Matthew Nastuk,1964-10-13,Matthew Michael Nastuk,Los Angeles,California,USA,,
Peter Bogdanovich,1939-07-30,,Kingston,New York,USA,1.78,
Nell Scovell,1960-11-08,Helen Vivian Scovell,Boston,Massachusetts,USA,,
Reid Harrison,1958-11-06,Reid Williams Harrison,Orange,Virginia,USA,,
Jeff 'Swampy' Marsh,1960-12-09,,Santa Monica,California,USA,1.73,
Harvey Fierstein,1954-06-06,,New York City,New York,USA,1.85,
Orlando Gumatay,1968-09-02,,Glendale,California,USA,,
Al Jean,1961-01-09,Alfred Ernest Jean III,,Michigan,USA,1.88,
Bill Burr,1968-06-10,,Canton,Massachusetts,USA,1.78,
Anika Noni Rose,1972-09-06,,Bloomfield,Connecticut,USA,1.57,
Bob Joyce,1958-02-21,Robert Brian Joyce,Los Angeles County,California,USA,,
Scott Shriner,1965-07-11,,Toledo,Ohio,USA,1.74,
Lauren MacMullan,1964-04-30,Lauren Hunter MacMullan,Boston,Massachusetts,USA,,
David Mirkin,1955-09-18,,Philadelphia,Pennsylvania,USA,1.85,
Amy Tan,1952-02-19,Amy Ruth Tan,Oakland,California,USA,,
Kent Holaday,1952-05-08,William Kent Holaday,,Indiana,USA,,Kenny
Jessica Schimmel,1978-06-28,Jessica Lynne Schimmel,Scottsdale,Arizona,USA,,
Eric Horsted,1965-03-27,Eric Bryan Horsted,Houston,Texas,USA,,
Kent Butterworth,1953-01-20,Kent David Butterworth,Gilbert,Arizona,USA,,
Doug Gallery,1971-06-23,Douglas A Gallery,San Diego,California,USA,,
Steve Viksten,1960-07-19,Stephen Lee Viksten,Ventura,California,USA,,
Brent Forrester,1967-05-12,Brent W. Forrester,Los Angeles,California,USA,,
Dawnn Lewis,1961-08-13,,Brooklyn,New York,USA,1.7,
Edward Chiodo,1960-08-25,Edward Michael Chiodo,Bronx,New York,USA,,
Lauren Tom,1961-08-04,,Chicago,Illinois,USA,1.56,
Peter Frampton,1950-04-22,,Kent,England,UK,1.71,
Shannon O'Connor,1974-10-06,Shannon C O'Connor,Los Angeles,California,USA,,
Karen Bauer,1964-11-11,Karen L Bauer,Los Angeles,California,USA,,
Brian J. Kaufman,1974-06-25,Brian James Kaufman,Clearfield,Pennsylvania,USA,,
Alan Smart,1963-10-10,Alan E. Smart,Los Angeles,California,USA,,
Helder Sun,1975-07-19,Helder King Sun,Salem,Massachusetts,USA,,
Taylor Allen,1983-11-04,Taylor Martin Allen,Houston,Texas,USA,,
Chris Reccardi,1964-11-24,Christopher Joseph Reccardi,New York City,New York,USA,,
Alan Moore,1953-11-18,,Northampton,England,UK,1.93,
John Achenbach,1964-10-12,John David Achenbach,Camarillo,California,USA,,
Anna Pagan,1946-06-13,Anna Lucretia Pagan,Houston,Texas,USA,,
Juli Murphy,1965-07-14,Julie M. Murphy,Los Angeles,California,USA,,
Sally Stevens,1939-11-24,Sally Jeanne Stevens,Los Angeles,California,USA,,
H. Jon Benjamin,1966-05-23,,Worcester,Massachusetts,USA,1.66,
Jim Fitzpatrick,1952-10-21,,Syracuse,New York,USA,,Fitz
Brian Scully,1953-08-10,Brian Richard Scully,West Springfield,Massachusetts,USA,,
Jack Sheldon,1931-11-30,,Jacksonville,Florida,USA,1.68,
Gregg Vanzo,1961-04-08,Gregg J. Vanzo,Webster,New York,USA,,
Douglas Goldstein,1971-09-12,,New York City,New York,USA,1.91,
Alex Dilts,1965-02-25,Alexander Charles Dilts,Los Angeles,California,USA,,
Jess Harnell,1963-12-23,,Teaneck,New Jersey,USA,1.83,
Scott Thompson,1959-06-12,,North Bay,Ontario,Canada,1.78,
Emily Michels,1965-02-21,Emily R. Schwappach,Los Angeles,California,USA,,
Bob Kushell,1969-01-29,Robert Rory Kushell,Los Angeles,California,USA,,
Magnus Carlsen,1990-11-30,,Tønsberg,Vestfold,Norway,1.78,
Rob LaZebnik,1962-05-06,Robert S LaZebnik,Pacific Palisades,California,USA,,
Delroy Lindo,1952-11-18,,London,England,UK,1.93,
Damian Kulash,1975-10-07,,Washington,District of Columbia,USA,1.88,
Jen Kamerman,1970-04-06,Jennifer Lynn Kamerman,Galveston,Texas,USA,,
Jemima Kirke,1985-04-26,,London,England,UK,1.57,
Lena Dunham,1986-05-13,,New York City,New York,USA,1.6,
Nathan Fielder,1983-05-12,,Vancouver,British Columbia,Canada,1.77,
John Berman,1953-07-17,John Michael Berman,Los Angeles,California,USA,,
Rick Logan,1961-06-20,Ricky Lynn Logan,Grayson County,Texas,USA,,
David Herman,1967-02-20,,New York City,New York,USA,1.88,
Ming Yao,1980-09-12,,Shanghai,,China,2.26,Ming the Merciless
Brett O'Quinn,1971-02-18,Brett C. O'Quinn,Bay View,Ohio,USA,,
Keith Olbermann,1959-01-27,,New York City,New York,USA,1.91,
Gary Yap,1968-09-08,,Honolulu,Hawaii,USA,1.7,
Eric Goldberg,1955-05-01,Eric A. Goldberg,Levittown,Pennsylvania,USA,,
Yeardley Smith,1964-07-03,Martha Maria Yeardley Smith,Paris,,France,1.6,
Michael Chabon,1963-05-24,,Washington,District of Columbia,USA,1.75,
Kevin Michael Richardson,1964-10-25,,New York City,New York,USA,1.83,
Shohreh Aghdashloo,1952-05-11,Shohreh Vaziri-Tabar,Tehran,,Iran,1.65,
Elvis Stojko,1972-03-22,,Newmarket,Ontario,Canada,1.7,
Patrick Wilson,1969-02-01,,Buffalo,New York,USA,1.78,
Dan Harmon,1973-01-03,,Milwaukee,Wisconsin,USA,1.83,
Brian Sheesley,1967-04-14,Brian Keith Sheesley,Visalia,California,USA,,
Susan Blu,1948-07-12,Susan Maria Blupka,St. Paul,Minnesota,USA,,
Joyce Carol Oates,1938-06-16,,Lockport,New York,USA,1.73,
Harold M. Schulweis,1925-04-14,Harold Maurice Schulweis,New York City,New York,USA,,
Tom Gammill,1957-05-19,Thomas W. Gammill,Darien,Connecticut,USA,,
Leasa Epps-Eisele,1983-03-17,Leasa Marie Epps,San Diego,California,USA,,
Sarah Greyson,1982-12-10,,Edmond,Oklahoma,USA,1.65,
Gailard Sartain,1946-09-18,,Tulsa,Oklahoma,USA,1.73,
Tom Wolfe,1930-03-02,Thomas Kennerly Wolfe Jr.,Richmond,Virginia,USA,,
Dave Matthews,1967-01-09,David John Matthews,Johannesburg,,South Africa,1.88,
Fred Willard,1933-09-18,,Shaker Heights,Ohio,USA,1.87,
Brad Vandergrift,1963-01-11,Bradley Kevin Vandergrift,Little Rock,Arkansas,USA,,
Adam Sawelson,1962-04-01,Adam Lee Sawelson,Los Angeles,California,USA,,
David Byrne,1952-05-14,,Dunbartonshire,Scotland,UK,1.83,
Dale Baer,1950-06-15,Dale Leonard Baer,Denver,Colorado,USA,,
Mike Judge,1962-10-17,Michael Craig Judge,Guayaquil,,Ecuador,1.8,
Bonita Pietila,1953-01-14,Bonita Lynn Pietila,Gwinn,Michigan,USA,,
Bruce Vilanch,1948-11-23,,New York City,New York,USA,1.7,
David Hyde Pierce,1959-04-03,,Saratoga Springs,New York,USA,1.77,
Richard Gibbs,1955-12-05,Richard Kendall Gibbs,,Ohio,USA,,Ribbs
Bill James,1949-10-05,,Mayetta,Kansas,USA,1.93,
Cindy Wilson,1957-02-28,Cynthia Leigh Wilson,Athens,Georgia,USA,,
Sam McMurray,1952-04-15,,New York City,New York,USA,1.83,
Janice Tolentino,1971-06-01,Janice Marie T Lorenzo,Eugene,Oregon,USA,,
Stephen Reis,1974-10-15,Stephen A Reis,Los Angeles,California,USA,,
Elon Musk,1971-06-28,Elon Reeve Musk,Pretoria,,South Africa,1.88,
Davy Lauterbach,1972-05-04,Davy Eric Lauterbach,Baltimore,Maryland,USA,,
Steve Socki,1955-08-06,Stephen Eddy Socki,Pasadena,California,USA,,
Bryan Batt,1963-03-01,,New Orleans,Louisiana,USA,1.83,
Christianna Lang Daley,1976-06-27,Christianna Carmel Lang,Allston,Massachusetts,USA,,
Doris Kearns Goodwin,1943-01-04,Doris Helen Kearns,Long Island,New York,USA,,
Charles Frederick Turner,1943-10-16,,Winnipeg,Manitoba,Canada,,Fred
Ben Daniels,1964-06-10,,Warwickshire,England,UK,1.83,
Kyle C. Hammans,1965-05-13,Kyle Christopher Hammans,Glendale,California,USA,,
Raymond S. Persi,1975-02-17,Raymond Saharath Persi,Los Angeles,California,USA,,
Tim Long,1969-06-14,Timothy Long,Brandon,Manitoba,Canada,,
Lawrence O'Donnell,1951-11-07,Lawrence Francis O'Donnell Jr,Boston,Massachusetts,USA,,
Stephen Chiodo,1954-03-02,Stephen Joseph Chiodo,Bronx,New York,USA,,
Dave Attell,1965-01-18,,New York City,New York,USA,1.75,
Brendan Hay,1979-02-19,,Long Island,New York,USA,,
Helen Fielding,1958-02-19,,West Yorkshire,England,UK,,
Bret McKenzie,1976-06-29,Bret Peter Tarrant McKenzie,New Zealand,,,1.83,
Dennis Snee,1951-04-11,,Pittsburgh,Pennsylvania,USA,,
Acacia Caputo,1971-05-28,,Los Angeles,California,USA,,
Lars Ulrich,1963-12-26,,Gentofte,,Denmark,1.66,
Michael Dante DiMartino,1974-07-18,,Shelburne,Vermont,USA,,
Mike Moon,1971-10-30,,Simi Valley,California,USA,,
Jonathan Gebhart,1970-08-24,,Havertown,Pennsylvania,USA,,
Sidse Babett Knudsen,1968-11-22,,Copenhagen,,Denmark,1.68,
Aimee Steinberger,1979-08-09,,,Georgia,USA,1.83,
Keith Crofford,1956-04-14,,Tuscaloosa,Alabama,USA,,
Michael P. Schoenbrun,1938-09-05,Michael Paul Schoenbrun,,California,USA,,
Michael LaPointe,1978-04-14,,Lakeland,Florida,USA,,
Michael O'Connor,1938-01-16,,Nacogdoches,Texas,USA,,
Marcia Mitzman Gaven,1959-02-28,,New York City,New York,USA,,
Gabor Csupo,1952-09-29,Gábor Csupó,Budapest,,Hungary,,
Will Shortz,1952-08-26,,Crawfordsville,Indiana,USA,,
Michael Dees,1941-08-30,,Houston,Texas,USA,,
Stephen Jay Gould,1941-09-10,,New York City,New York,USA,,
Brian Mainolfi,1971-05-29,Brian Alex Mainolfi,,New York,USA,,
Becky Van Cleve,1983-03-06,,Erie,Pennsylvania,USA,,
